Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
05/08/2024,3002806702,"Cipla, Ltd.",483,06/07/2024,https://www.fda.gov/media/179231/download?attachment,269626
01/16/2024,3007373503,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. (Huanghe Road Site)",483,06/04/2024,https://www.fda.gov/media/179134/download?attachment,269627
04/12/2024,3004034796,"Delta Pharma, Inc.",483,05/21/2024,https://www.fda.gov/media/178599/download,269629
03/13/2024,3009339218,Jubilant DraxImage Radiopharmacies Inc.,483,05/21/2024,https://www.fda.gov/media/178630/download,269628
05/03/2024,3009883410,EUGIA Pharma Specialities Limited,483,05/13/2024,https://www.fda.gov/media/178585/download?attachment,269630
04/23/2024,3013712903,Zydus Lifesciences Limited,483,04/29/2024,https://www.fda.gov/media/178169/download?attachment,269631
12/15/2023,3004561553,Sun Pharmaceutical Industries Limited,483,04/17/2024,https://www.fda.gov/media/177871/download?attachment,269632
04/05/2024,3027357163,Eugia Steriles Private Limited,483,04/16/2024,https://www.fda.gov/media/177845/download?attachment,269633
03/27/2024,3007621329,Zydus Lifesciences Limited,483,04/12/2024,https://www.fda.gov/media/177746/download?attachment,269634
04/04/2024,3002806710,Cipla Limited,483,04/10/2024,https://www.fda.gov/media/177653/download?attachment,269635
03/27/2024,3006370533,Alkem Laboratories Limited,483,04/09/2024,https://www.fda.gov/media/177580/download?attachment,269636
02/02/2024,3006895982,Jubilant Generics Limited,483,04/05/2024,https://www.fda.gov/media/177529/download?attachment,269637
11/03/2023,3001581899,Contract Pharmaceuticals Limited Canada,483,04/03/2024,https://www.fda.gov/media/177488/download?attachment,269638
10/25/2023,3002815949,Stokes Healthcare Inc. dba Epicur Pharma,483,03/22/2024,https://www.fda.gov/media/177221/download,269641
11/15/2023,3005949964,"Catalent Indiana, LLC",483,03/22/2024,https://www.fda.gov/media/177229/download,269640
06/07/2021,3012937475,"Front Door Pharmacy, LLC dba Pure Pharmacy (Pure Pharmaceuticals)",483,03/22/2024,https://www.fda.gov/media/177225/download,269639
05/26/2023,3009925820,Medi-Fare Drug,483,03/21/2024,https://www.fda.gov/media/177153/download,269642
07/14/2023,3025984445,Sentara Enterprises,483,03/20/2024,https://www.fda.gov/media/177155/download,269643
02/29/2024,3011905047,Eugia SEZ Private Limited,483,03/15/2024,https://www.fda.gov/media/177078/download?attachment,269644
09/08/2021,1000076625,Boothwyn Pharmacy LLC,483,02/29/2024,https://www.fda.gov/media/176469/download,269645
02/02/2024,3008461619,Eugia Pharma Specialities Limited,483,02/13/2024,https://www.fda.gov/media/176315/download?attachment,269646
